area_type,availability,location
Super built-up Area,Ready To Move,2nd Phase JP Nagar
Super built-up Area,Ready To Move,Subramanyapura
Super built-up Area,20-May,1st Block Jayanagar
Super built-up Area,Ready To Move,Kenchenahalli
Super built-up Area,Ready To Move,Hennur Road
Built-up Area,Ready To Move,Hulimavu
Super built-up Area,Ready To Move,Vasanthapura
Built-up Area,21-Dec,"Electronic city phase 1,"
Super built-up Area,Ready To Move,LB Shastri Nagar
Built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-Apr,Thanisandra
Plot Area,Ready To Move,Hosa Road
Super built-up Area,21-Dec,Kanakpura Road
Built-up Area,Ready To Move,Jakkur Plantation
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,21-Jan,Kanakpura Road
Super built-up Area,Ready To Move,Lavakusha Nagar
Super built-up Area,Ready To Move,6th Phase JP Nagar
Super built-up Area,Ready To Move,Jigani
Super built-up Area,Ready To Move,JP Nagar
Super built-up Area,Ready To Move,Old Madras Road
Super built-up Area,Ready To Move,Kuvempu Nagar
Super built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,21-Dec,Electronic City
Super built-up Area,Ready To Move,Thanisandra
Built-up Area,Ready To Move,Sri Balaji Krupa Layout
Plot Area,Ready To Move,Domlur Layout
Built-up Area,Ready To Move,Bannerghatta Road
Built-up Area,Ready To Move,Kaggadasapura
Super built-up Area,Ready To Move,Hegde Nagar
Plot Area,Ready To Move,Vasanth nagar
Plot Area,Ready To Move,Kammasandra
Super built-up Area,Ready To Move,Kaggadasapura
Built-up Area,Ready To Move,Hennur Road
Super built-up Area,18-Mar,8th Phase JP Nagar
Built-up Area,19-Dec,Hennur Road
Super built-up Area,20-Jul,Frazer Town
Built-up Area,18-Jun,Anathanagar
Plot Area,Ready To Move,Vishveshwarya Layout
Super built-up Area,19-Jul,Bannerghatta Road
Super built-up Area,Ready To Move,Basavanapura
Built-up Area,Ready To Move,Kengeri Satellite Town
Super built-up Area,Ready To Move,vinayakanagar
Built-up Area,Ready To Move,St. John's Road
Built-up Area,Ready To Move,Uttarahalli
Plot Area,Ready To Move,Jaraganahalli Jp Nagar Post
Super built-up Area,Ready To Move,Haralur Road
Plot Area,Ready To Move,adigondanhalli
Plot Area,Immediate Possession,Yelahanka
Super built-up Area,18-Aug,Hennur Road
Super built-up Area,Ready To Move,Jalahalli
Built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Varthur
Super built-up Area,18-Apr,Electronic City
Super built-up Area,Ready To Move,Horamavu Banaswadi
Super built-up Area,19-Dec,Yelahanka
Super built-up Area,18-May,Horamavu Agara
Built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,5th Phase JP Nagar
Plot Area,Ready To Move,Rajaji Nagar
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Whitefield
Plot Area,Ready To Move,Dommasandra
Super built-up Area,Ready To Move,EPIP Zone
Super built-up Area,Ready To Move,Chandapura
Super built-up Area,Ready To Move,Hennur
Built-up Area,Ready To Move,EPIP Zone
Built-up Area,Ready To Move,"Whitefield,"
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Pattandur Agrahara
Super built-up Area,20-Jun,Budigere
Super built-up Area,Ready To Move,Thyagaraja Nagar
Plot Area,Ready To Move,Brookefield
Super built-up Area,Ready To Move,Somasundara Palya
Super built-up Area,Ready To Move,Off Bannergatta Road
Super built-up Area,Ready To Move,Hennur Road
Plot Area,18-Nov,Channasandra
Built-up Area,Ready To Move,Kengeri Satellite Town
Built-up Area,Ready To Move,Sarjapur Road
Built-up Area,Ready To Move,Hulimavu
Super built-up Area,18-Jul,Bhoganhalli
Super built-up Area,Ready To Move,Frazer Town
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,Ready To Move,Kammagondahalli
Super built-up Area,Ready To Move,Kanakapura Rod
Super built-up Area,Ready To Move,Mahadevpura
Super built-up Area,Ready To Move,Indira Nagar
Built-up Area,Ready To Move,Thanisandra
Plot Area,Ready To Move,Margondanahalli
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Sonnenahalli
Super built-up Area,Ready To Move,Ramamurthy Nagar
Super built-up Area,Ready To Move,Kallumantapa
Super built-up Area,Ready To Move,Gunjur
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-May,Hosa Road
Built-up Area,Ready To Move,Byrathi Village
Super built-up Area,Ready To Move,Uttarahalli
Plot Area,Ready To Move,Thanisandra
Plot Area,Ready To Move,Krishna Nagar
Super built-up Area,Ready To Move,Kaggalipura
Super built-up Area,Ready To Move,HBR Layout
Built-up Area,Ready To Move,Yelahanka New Town
Built-up Area,Ready To Move,Kengeri
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Whitefield
Plot Area,Ready To Move,Hoodi
Super built-up Area,Ready To Move,Banashankari
Super built-up Area,18-Jan,Ashok Nagar
Built-up Area,Ready To Move,Hormavu
Super built-up Area,18-May,Old Airport Road
Super built-up Area,18-Dec,Chandapura
Super built-up Area,Ready To Move,Banashankari
Super built-up Area,Ready To Move,Ananth Nagar
Built-up Area,Ready To Move,Nagarbhavi
Super built-up Area,Ready To Move,Doddakallasandra
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Harlur
Super built-up Area,19-Jan,Mysore Road
Built-up Area,Ready To Move,Attibele
Super built-up Area,18-Oct,Bannerghatta Road
Super built-up Area,Ready To Move,Naganathapura
Super built-up Area,Ready To Move,Giri Nagar
Super built-up Area,Ready To Move,JP Nagar
Plot Area,Ready To Move,Meenakunte
Super built-up Area,Ready To Move,Hebbal
Built-up Area,Ready To Move,Sonnenahalli
Super built-up Area,Ready To Move,Abbaiah Reddy Layout
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Devarachikkanahalli
Plot Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,KR Puram
Super built-up Area,18-May,Electronic City Phase II
Built-up Area,Ready To Move,"Sarjapur Road,"
Super built-up Area,Ready To Move,Nehru Nagar
Super built-up Area,19-Dec,Richmond Road
Super built-up Area,18-May,Panathur
Super built-up Area,18-Jul,Rajaji Nagar
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,18-Aug,Hosa Road
Super built-up Area,18-May,Hosur Road
Built-up Area,Ready To Move,Upadhyaya Layout
Built-up Area,Ready To Move,Ashwath Nagar
Super built-up Area,Ready To Move,Harlur
Super built-up Area,18-Dec,Varthur
Built-up Area,Ready To Move,Kengeri
Built-up Area,18-Apr,Thanisandra
Super built-up Area,Ready To Move,Dodda Nekkundi
Built-up Area,18-Dec,Huskur
Super built-up Area,Ready To Move,Agrahara Dasarahalli
Plot Area,Ready To Move,Ittamadu
Built-up Area,Ready To Move,Avalahalli
Super built-up Area,Ready To Move,Sonnenahalli
Super built-up Area,Ready To Move,Kambipura
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Thanisandra
Plot Area,Ready To Move,Jigani
Plot Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,KR Puram
Super built-up Area,Ready To Move,Tejaswini Nagar
Built-up Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Dodda Nekkundi
Super built-up Area,Ready To Move,Govindapura
Super built-up Area,Ready To Move,Sector 2 HSR Layout
Super built-up Area,Ready To Move,Lottegolla Halli
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Uttarahalli
Built-up Area,Ready To Move,Hosahalli Extension
Super built-up Area,Ready To Move,Singasandra
Super built-up Area,Ready To Move,HSR Layout
Built-up Area,Ready To Move,Munnekollal
Built-up Area,Ready To Move,Jigani
Super built-up Area,Ready To Move,Yelahanka
Built-up Area,Ready To Move,TC Palaya
Built-up Area,Ready To Move,Rajiv Nagar
Built-up Area,Ready To Move,3rd Phase JP Nagar
Super built-up Area,Ready To Move,Bellandur
Built-up Area,Ready To Move,Green Glen Layout
Built-up Area,Ready To Move,Byadarahalli
Super built-up Area,18-Dec,Balagere
Super built-up Area,Ready To Move,Rajaji Nagar
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Telecom Layout
Super built-up Area,18-Aug,Horamavu Agara
Super built-up Area,18-Apr,Ramamurthy Nagar
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Hennur Gardens
Super built-up Area,19-Mar,Old Madras Road
Super built-up Area,Ready To Move,RPC layout
Super built-up Area,Ready To Move,Thigalarapalya
Built-up Area,Ready To Move,Tindlu
Plot Area,Ready To Move,Magadi Road
Super built-up Area,20-Dec,Judicial Layout
Super built-up Area,Ready To Move,Kodipalya
Plot Area,Ready To Move,Vishwapriya Nagar
Built-up Area,Ready To Move,ISRO Layout
Super built-up Area,Ready To Move,Talaghattapura
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,Bannerghatta Road
Plot Area,Ready To Move,Postal Colony
Built-up Area,Ready To Move,ISRO Layout
Super built-up Area,Ready To Move,Kadabagere
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,Channasandra
Super built-up Area,Ready To Move,Old Madras Road
Super built-up Area,Ready To Move,Bisuvanahalli
Super built-up Area,18-Sep,Hennur Road
Plot Area,Ready To Move,Kammanahalli
Built-up Area,18-Feb,Sonnenahalli
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Sarjapura - Attibele Road
Plot Area,18-Dec,Attibele
Super built-up Area,Ready To Move,Sarjapur Road
Plot Area,Ready To Move,1st Block HRBR Layout
Plot Area,18-Apr,Bannerghatta
Super built-up Area,Ready To Move,Hennur Road
Built-up Area,Ready To Move,TC Palaya
Plot Area,Ready To Move,LB Shastri Nagar
Super built-up Area,19-Dec,Anwar Layout
Plot Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Kathriguppe
Built-up Area,Ready To Move,Kudlu Gate
Built-up Area,Ready To Move,CV Raman Nagar
Plot Area,Ready To Move,Bileshivale
Super built-up Area,Ready To Move,Kengeri Satellite Town
Super built-up Area,Ready To Move,Battarahalli
Super built-up Area,Ready To Move,Old Airport Road
Built-up Area,Ready To Move,Dodda Nekkundi Extension
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Kengeri
Super built-up Area,Ready To Move,Rajaji Nagar
Super built-up Area,18-May,Ananth Nagar
Built-up Area,Ready To Move,Jakkasandra Extension
Plot Area,Ready To Move,R.T. Nagar
Super built-up Area,Ready To Move,Bellandur
Built-up Area,Ready To Move,GM Palaya
Built-up Area,Ready To Move,BTM 2nd Stage
Super built-up Area,Ready To Move,HSR Layout
Super built-up Area,Ready To Move,Jalahalli
Super built-up Area,Ready To Move,Bannerghatta Road
Built-up Area,Ready To Move,Singapura Village
Built-up Area,Ready To Move,Chandapura
Super built-up Area,18-Jun,Whitefield
Super built-up Area,18-May,Nallurhalli
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Puttanahalli
Super built-up Area,Ready To Move,Banashankari
Plot Area,Ready To Move,Chandra Layout
Super built-up Area,Ready To Move,Jakkur
Super built-up Area,Ready To Move,Hennur
Super built-up Area,21-Dec,Kanakpura Road
Super built-up Area,Ready To Move,Somasundara Palya
Built-up Area,18-Aug,Electronic City Phase II
Built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Uttarahalli
Plot Area,Ready To Move,Akshaya Vana
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Kaikondrahalli
Super built-up Area,Ready To Move,Kamakya Layout
Super built-up Area,Ready To Move,Kodihalli
Super built-up Area,18-Dec,Jalahalli
Plot Area,Ready To Move,Kumaraswami Layout
Super built-up Area,18-Dec,Kengeri Satellite Town
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-Jan,Kengeri Satellite Town
Super built-up Area,Ready To Move,Kasavanhalli
Super built-up Area,Ready To Move,7th Phase JP Nagar
Plot Area,Ready To Move,2nd Stage Nagarbhavi
Super built-up Area,18-Dec,Hosa Road
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Harlur
Plot Area,Ready To Move,BTM 1st Stage
Plot Area,Ready To Move,2nd Stage Nagarbhavi
Super built-up Area,Ready To Move,Old Madras Road
Super built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,18-Jun,Bommasandra Industrial Area
Plot Area,Ready To Move,"MEI layout, Bagalgunte"
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,20-Oct,Banashankari Stage VI
Super built-up Area,18-Mar,Whitefield
Built-up Area,Ready To Move,Rayasandra
Super built-up Area,Ready To Move,Yeshwanthpur
Super built-up Area,Ready To Move,Singasandra
Built-up Area,Ready To Move,KR Puram
Built-up Area,Ready To Move,Gnana Bharathi
Built-up Area,Ready To Move,Jigani
Plot Area,Ready To Move,Pai Layout
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,20-Dec,Varthur
Super built-up Area,Ready To Move,Keshava Nagar
Super built-up Area,Ready To Move,Kacharakanahalli
Built-up Area,Ready To Move,Benson Town
Built-up Area,Ready To Move,Sompura
Super built-up Area,18-May,SRINIVASAPURA
Super built-up Area,18-Aug,Rajaji Nagar
Super built-up Area,19-Mar,Hebbal
Super built-up Area,Ready To Move,Ardendale
Super built-up Area,Ready To Move,Bisuvanahalli
Built-up Area,Ready To Move,Sidedahalli
Super built-up Area,18-Sep,Varthur
Super built-up Area,19-Aug,Electronic City Phase II
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,17-Jun,Hosur Road
Built-up Area,Ready To Move,Jeevanhalli
Super built-up Area,19-Mar,Marathahalli
Super built-up Area,18-Aug,Kanakpura Road
Super built-up Area,19-Oct,Sarjapur Road
Built-up Area,Ready To Move,Ramamurthy Nagar Extension
Super built-up Area,Ready To Move,Green Glen Layout
Plot Area,Ready To Move,Mahalakshmi Puram
Super built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,20-Dec,Whitefield
Super built-up Area,Ready To Move,Channasandra
Built-up Area,Ready To Move,Jalahalli
Super built-up Area,Ready To Move,Yelachenahalli
Super built-up Area,Ready To Move,Electronic City
Plot Area,Ready To Move,"Gubbi Cross, Hennur Main Road"
Super built-up Area,18-May,Tumkur Road
Super built-up Area,Ready To Move,Dairy Circle
Built-up Area,Ready To Move,HSR Layout
Super built-up Area,18-Aug,Rajaji Nagar
Super built-up Area,Ready To Move,Begur Road
Super built-up Area,Ready To Move,Varthur
Super built-up Area,18-Dec,Hennur
Plot Area,Ready To Move,Byrathi Village
Built-up Area,Ready To Move,Hegde Nagar
Plot Area,Ready To Move,Sabari Nagar
Plot Area,Ready To Move,Banashankari Stage V
Super built-up Area,18-Dec,Hennur Road
Built-up Area,Ready To Move,Gubbalala
Super built-up Area,Ready To Move,Kammasandra
Super built-up Area,18-Dec,Old Airport Road
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Hormavu
Super built-up Area,Ready To Move,Mysore Road
Super built-up Area,19-Dec,Kodihalli
Super built-up Area,Ready To Move,Ashraya Layout
Super built-up Area,Ready To Move,Singasandra
Super built-up Area,18-Jun,Whitefield
Plot Area,18-Jul,Whitefield
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-Aug,Hennur Road
Super built-up Area,Ready To Move,Kalena Agrahara
Super built-up Area,Ready To Move,Sarjapura - Attibele Road
Super built-up Area,18-Dec,Hebbal
Plot Area,Ready To Move,Arishinakunte
Super built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,Gunjur
Built-up Area,Ready To Move,Rajaji Nagar
Built-up Area,Ready To Move,R.T. Nagar
Built-up Area,Ready To Move,"Thanisandra Main Road,"
Super built-up Area,Ready To Move,Hennur
Plot Area,Ready To Move,Kogilu
Built-up Area,Ready To Move,Infantry Road
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Horamavu Agara
Plot Area,18-Jul,Whitefield
Built-up Area,18-Dec,Electronic City
Plot Area,Ready To Move,Sarvabhouma Nagar
Super built-up Area,18-Dec,Jakkur
Super built-up Area,Ready To Move,Nagavara
Super built-up Area,18-May,Thanisandra
Super built-up Area,Ready To Move,Kaggadasapura
Plot Area,Ready To Move,9th Phase JP Nagar
Super built-up Area,Ready To Move,Old Airport Road
Super built-up Area,Ready To Move,Byrasandra
Plot Area,18-Apr,Kaval Byrasandra
Built-up Area,Ready To Move,Yelahanka
Plot Area,Ready To Move,Rajaji Nagar
Super built-up Area,Ready To Move,Neelamangala
Built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Yelahanka
Built-up Area,Ready To Move,Tumkur Road
Plot Area,Ready To Move,Chikka Tirupathi
Super built-up Area,17-Mar,Kammagondahalli
Plot Area,Ready To Move,Kathreguppe
Super built-up Area,17-Dec,Varthur
Super built-up Area,18-Oct,Whitefield
Super built-up Area,Ready To Move,Whitefield ECC Road
Super built-up Area,Ready To Move,5th Phase JP Nagar
Built-up Area,18-Apr,Koppa
Super built-up Area,Ready To Move,Lavelle Road
Built-up Area,Ready To Move,Begur Road
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,22-Jan,Bannerghatta Road
Super built-up Area,Ready To Move,Begur Road
Plot Area,18-Apr,Maruthi nagar kogilu
Super built-up Area,Ready To Move,Kothanur
Super built-up Area,18-Dec,Whitefield
Plot Area,Ready To Move,TC Palaya
Super built-up Area,Ready To Move,Krishna Reddy Layout
Built-up Area,Ready To Move,Nagasandra
Super built-up Area,Ready To Move,Abbigere
Built-up Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,Jai Bheema Nagar
Super built-up Area,Ready To Move,Ayappa Nagar
Plot Area,Ready To Move,Chikkasandra
Super built-up Area,18-May,Brindavan Layout
Super built-up Area,Ready To Move,Hoskote
Built-up Area,Ready To Move,Kaval Byrasandra
Super built-up Area,Ready To Move,Billamaranahalli
Built-up Area,18-Dec,Electronic City
Plot Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,Hanumantha Nagar
Built-up Area,Ready To Move,Chandapura
Built-up Area,Ready To Move,Chikkabanavar
Plot Area,Ready To Move,Prasanti Nagar
Built-up Area,Ready To Move,3rd Block Hrbr Layout
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-Jan,Whitefield
Super built-up Area,Ready To Move,Vignana Nagar
Super built-up Area,Ready To Move,Kambipura
Built-up Area,Ready To Move,Thanisandra
Super built-up Area,18-May,Electronic City Phase II
Super built-up Area,Ready To Move,Ambalipura
Super built-up Area,Ready To Move,Somasundara Palya
Super built-up Area,20-Dec,Padmanabhanagar
Super built-up Area,Ready To Move,Vittasandra
Super built-up Area,Ready To Move,Electronic City Phase II
Super built-up Area,18-Mar,Bannerghatta Road
Built-up Area,Ready To Move,Kaikondrahalli
Super built-up Area,Ready To Move,Hormavu
Super built-up Area,Ready To Move,Rajaji Nagar
Super built-up Area,19-Jan,Banashankari
Plot Area,Ready To Move,Medahalli
Built-up Area,Ready To Move,"Banasawadi,"
Super built-up Area,Ready To Move,Kaggadasapura
Built-up Area,Ready To Move,Jayamahal
Super built-up Area,Ready To Move,Vinayaka Nagar
Built-up Area,Ready To Move,Bhoganhalli
Built-up Area,18-Dec,Electronic City
Super built-up Area,19-Sep,Whitefield
Built-up Area,Ready To Move,9th Phase JP Nagar
Built-up Area,Ready To Move,3rd Block Jayanagar
Super built-up Area,18-Jul,Ramagondanahalli
Built-up Area,Ready To Move,Harlur
Built-up Area,19-Mar,Hennur Road
Super built-up Area,18-Dec,Jalahalli
Super built-up Area,Ready To Move,Kathriguppe
Super built-up Area,Ready To Move,Hebbal
Super built-up Area,Ready To Move,Yeshwanthpur
Super built-up Area,Ready To Move,Rajaji Nagar
Super built-up Area,Ready To Move,Shivaji Nagar
Super built-up Area,Ready To Move,Gulimangala
Plot Area,Ready To Move,Nagashetty Halli
Super built-up Area,Ready To Move,Devasandra Extension
Super built-up Area,21-Dec,Thanisandra
Super built-up Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Sector 2 HSR Layout
Super built-up Area,19-Dec,Kengeri
Super built-up Area,Ready To Move,Channasandra Layout
Built-up Area,Ready To Move,Yelahanka
Built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,Thanisandra
Plot Area,Ready To Move,Kasturi Nagar
Super built-up Area,Ready To Move,Hegde Nagar
Super built-up Area,19-Dec,Bannerghatta
Built-up Area,Ready To Move,Whitefield
Plot Area,Ready To Move,Hormavu
Plot Area,Ready To Move,Kamala Nagar
Super built-up Area,Ready To Move,Nagasandra
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,18-Aug,JP Nagar
Super built-up Area,Ready To Move,Suraksha Nagar
Plot Area,Ready To Move,Horamavu Banaswadi
Super built-up Area,Ready To Move,Sathya Sai Layout
Super built-up Area,Ready To Move,Kodichikkanahalli
Plot Area,Ready To Move,Bank Of Baroda Colony
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,19-Dec,Binny Pete
Built-up Area,Ready To Move,Yelahanka
Super built-up Area,18-Aug,Ramagondanahalli
Super built-up Area,Ready To Move,Kereguddadahalli
Super built-up Area,17-Apr,Uttarahalli
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar 5th Stage
Super built-up Area,Ready To Move,Thigalarapalya
Super built-up Area,Ready To Move,Hennur
Plot Area,Ready To Move,Ganesha Block
Super built-up Area,Ready To Move,Hormavu
Super built-up Area,17-Apr,Harlur
Super built-up Area,18-Dec,ITPL
Super built-up Area,18-Aug,Kudlu Gate
Super built-up Area,Ready To Move,HSR Layout
Super built-up Area,Ready To Move,GM Palaya
Super built-up Area,Ready To Move,Banagiri Nagar
Super built-up Area,Ready To Move,Jakkur
Plot Area,17-Oct,Hennur
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,7th Phase JP Nagar
Plot Area,Ready To Move,BHEL Layout
Built-up Area,Ready To Move,Byrathi Village
Super built-up Area,Ready To Move,Mahadevpura
Built-up Area,Ready To Move,Ramamurthy Nagar
Super built-up Area,Ready To Move,Malleshwaram
Built-up Area,Ready To Move,Pai Layout
Built-up Area,Ready To Move,Haralur Road
Built-up Area,18-Dec,Electronic City
Plot Area,Ready To Move,Hulimavu
Built-up Area,Ready To Move,Harlur
Super built-up Area,18-Apr,Thanisandra
Super built-up Area,18-Jun,9th Phase JP Nagar
Super built-up Area,17-Oct,Banashankari
Super built-up Area,18-Dec,Kudlu Gate
Super built-up Area,Ready To Move,Amblipura
Built-up Area,Ready To Move,Naganathapura
Plot Area,Ready To Move,Dodda Banaswadi
Built-up Area,Ready To Move,Konena Agrahara
Super built-up Area,18-Jul,Chandapura
Super built-up Area,Ready To Move,Jigani
Super built-up Area,Ready To Move,GD Layout
Built-up Area,Ready To Move,Munnekollal
Super built-up Area,Ready To Move,Lakshminarayana Pura
Super built-up Area,18-Dec,Sunkan palya
Built-up Area,19-Jun,Sarjapur
Super built-up Area,Ready To Move,CV Raman Nagar
Super built-up Area,Ready To Move,Hosur Road
Built-up Area,Ready To Move,1st Phase JP Nagar
Super built-up Area,Ready To Move,8th Phase JP Nagar
Super built-up Area,Ready To Move,Malleshwaram
Super built-up Area,21-Dec,Kanakpura Road
Plot Area,18-Aug,ITPL
Super built-up Area,19-Dec,Yelahanka
Super built-up Area,Ready To Move,Vidyaranyapura
Built-up Area,Ready To Move,Sunkadakatte
Super built-up Area,21-Dec,Kanakpura Road
Carpet Area,19-Jun,Hormavu
Built-up Area,Ready To Move,Jayanti Nagar
Plot Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,Yeshwanthpur Industrial Suburb
Plot Area,Ready To Move,Kumaraswami Layout
Super built-up Area,Ready To Move,8th Phase JP Nagar
Super built-up Area,19-Mar,Thubarahalli
Plot Area,Ready To Move,Moodalapalya
Super built-up Area,Ready To Move,Uttarahalli
Built-up Area,Ready To Move,Kadugodi
Built-up Area,Ready To Move,Sahakara Nagar
Plot Area,Ready To Move,TC Palaya
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,BTM 1st Stage
Super built-up Area,Ready To Move,7th Phase JP Nagar
Plot Area,Ready To Move,Gayathri Nagar
Plot Area,Ready To Move,Abbigere
Super built-up Area,18-Aug,Maruthi Nagar
Super built-up Area,Ready To Move,Hebbal
Super built-up Area,Ready To Move,5th Phase JP Nagar
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-Jul,Bannerghatta
Super built-up Area,Ready To Move,Bellandur
Super built-up Area,Ready To Move,Rajiv Gandhi Nagar
Super built-up Area,Ready To Move,Kengeri
Built-up Area,Ready To Move,Bhuvaneshwari Nagar
Super built-up Area,19-Mar,Thanisandra
Super built-up Area,Ready To Move,Haralur Road
Built-up Area,Ready To Move,Yelenahalli
Super built-up Area,21-Dec,Kanakpura Road
Plot Area,Ready To Move,Medahalli
Super built-up Area,21-Dec,Kannamangala
Super built-up Area,Ready To Move,Ramagondanahalli
Built-up Area,Ready To Move,Kumaraswami Layout
Super built-up Area,18-Jul,Kasavanhalli
Super built-up Area,Ready To Move,Old Mangammanapalya Road
Built-up Area,Ready To Move,Canara Bank Colony
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,Ittamadu
Super built-up Area,Ready To Move,Electronic City
Carpet Area,Ready To Move,Maruthi Sevanagar
Super built-up Area,21-Aug,Electronics City Phase 1
Plot Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Sahakara Nagar
Built-up Area,Ready To Move,Battarahalli
Plot Area,Ready To Move,8th Phase JP Nagar
Built-up Area,19-May,Thanisandra
Super built-up Area,Ready To Move,Hessarghatta
Built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,BTM 2nd Stage
Built-up Area,Ready To Move,Gubbalala
Super built-up Area,Ready To Move,Kanakpura Road
Built-up Area,Ready To Move,Kasavanhalli
Super built-up Area,Ready To Move,Kothanur
Super built-up Area,18-Jul,Electronic City
Plot Area,19-Oct,Whitefield
Plot Area,18-Apr,1Kasavanhalli
Super built-up Area,Ready To Move,HSR Layout
Super built-up Area,Ready To Move,Mallasandra
Super built-up Area,19-Mar,Hennur Road
Super built-up Area,Ready To Move,Varthur
Plot Area,18-Apr,Channasandra
Super built-up Area,Ready To Move,Jalahalli
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,18-Jul,Dasarahalli
Built-up Area,17-Sep,Hongasandra
Plot Area,Immediate Possession,Hosur Road
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,18-Dec,Old Madras Road
Plot Area,Ready To Move,Margondanahalli
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Bellandur
Super built-up Area,Ready To Move,Chandapura
Plot Area,Ready To Move,Attibele
Plot Area,Ready To Move,Varsova Layout
Super built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,J C Nagar
Built-up Area,Ready To Move,Mahalakshmi Layout
Built-up Area,Ready To Move,Bagalur Main Road
Super built-up Area,Ready To Move,Begur Road
Super built-up Area,Ready To Move,Bommanahalli
Plot Area,Ready To Move,R.T. Nagar
Super built-up Area,Ready To Move,Govindapura
Built-up Area,Ready To Move,Koramangala
Built-up Area,17-Jul,Electronic City
Super built-up Area,Ready To Move,CV Raman Nagar
Super built-up Area,Ready To Move,Bommasandra
